metric,result
f1_weighted,0.8711355924606323
f1_macro,0.8232164978981018
precision_weighted,0.8708083629608154
precision_macro,0.8250536918640137
recall_weighted,0.8714953064918518
recall_macro,0.8214339017868042
loss,0.5416539978869723
accuracy,87.14953660964966
